请根据实际情况，替换speaker1或speaker2为教练或客户：
总时长：98:53
speaker1:          说话时长：3388秒,占比：68.32%  安静时长:659 秒。
speaker2:          说话时长：1571秒,占比：31.68%  安静时长:313 秒。
speaker1:          字节总数：19320,占比：66.20%
26:55  speaker1：对对我我我我就我讲完了哈就是说他嗯，像这些就像那个宛如他本来就有一个轻橄榄在家教育的公众号，他的粉丝已经有了，嗯，所以当他在他的这个公众号上推推广课程的时候，他很快他三四天就收入就就3万了，呵呵然后嗯，就是就是然后有一些妈妈就是像带我进来的，他是做那个呃英语英语启蒙的，他在千聊上就有开课，然后他自己的孩子的英语也非常好，所以他这种妈妈也是粉丝很多，他原来靠他的课程买他课程的，家长就有上千了，他的他的朋友圈就两两2000多人，所以他那这个群都是很多人的。他这个也是收入上万留嘛就是收入3万。那你看到有的有的跟我起来的一些姐妹，有的是组内的一些教育的老师，组内的老师啊，他好像也两三个月，他也收入上万，那我就不行，当然我花的精力也没那么多，但是我就我的人脉也没那么广。嗯，那我就是嗯，但是我的话我没我也没有他们那样子去推的啊，花那么多精力去推，我觉得我也没那个精力，然后也会也会涉及到很多网络推广的一些一些工具，我觉得我也不熟，所以我就觉得还是有挺快，有一些困难，好像不可以赚到钱，但是你就啊不一定赚得到钱。但是呢我觉得做这个东西如果能够因为看着他们赚到钱了，就觉得好像又可惜，好像也不是太懒，但是落实到自己这边的处境又觉得其实是挺难的。因为我们的妈妈我们的家庭都不是很富裕的家庭，他也不可能给孩子买很多课，而且。
28:51  speaker1：那天那个那个你你认识的人就是都买完课，买了课他也不可能无，你要不断去拓宽你新的人群，那这个拓宽人群，又需要花些精力啊，尽管平台会教你说什么去走音上吸粉啊，去哪里去去去吸粉啊，去增加你的这个人群，去还要去发展你的嗯，下游的课，代表下一期课代表什么的，就有有这些，但是我就觉得哇也要花很多精力，而且是有或者你感觉陌生的呢，或者你感觉没有那个脸面去做的，好像又成了我的一个障碍，就有点卡在这啊。不然我会觉得这个这一个嗯，项目倒还是可以兼顾一点家庭啊，又能够赚点钱，其实也要花精力，只是说他是在家里面花精力，然后你想停才能停得下来。不会有个老板盯着你说不不你你必须招去玩打卡，嗯，嗯，嗯，所以我心里面也是在挺矛盾，说我说要不要再继续，因为现在我也没怎么在在再花太多精力，因为我感觉也不是太容易。你你该开花的，该该该该买的群体也买了一些课了，你不可能无你不可能再往他们这边一直推课啊，因为每个人孩子的精力有限，然后他们的经济能力也有限，也不可能你再推他们也不一定买啊，这个课再好，但是他已经有课程了，那就不一定会再去买了。所以我就有点听着有点停止，等于也就是说到瓶颈了吧，哈我也没有太花太花很多时间去做，嗯，但是有时候看到他们怎么就就就一些小小姑娘，就是很年轻的一些小姑娘，她们她们嗯，是老师组内的老师，因为他们怎么这么容易就好像他们怎么就上万了，就就就就进牛妈了，我就觉得唉他们怎么做到的，好好像他们去他们那时候呢也不是太多。为什么？那比我多一点可能会比我多一点，因为现在嗯，所以我就觉得这个不知道要不要要不要，在下去了，还是说可以再继续发展，因为我觉得还是有意义的就是说嗯，在接触这些当中，其实我是可以给到一些价值，就是给一些很迷茫中的妈妈，不知道怎么去给孩子，因为我不会不知道怎么去给孩子做艺术嘛，或者不知道怎么去做呃数学的启蒙，什么这些他这些课程里面都是有它的一个设计的一个逻辑，然后你了你必须要了解一些教育方面的一些理念，你才能够去推广这些课程。嗯，所以我就觉得还是有很多的学习，就像原来我最近对孩子的在家英语启蒙我也是不是太不是太熟，嗯，但是现在我就觉得我会我很熟，就几岁的孩子要要要怎么做，几岁孩子应该怎么做，我就感觉自己在这方面有很多的积累和成长，就可以可以帮到周围的妈妈们嗯，怎么去去给他们的孩子做英语启蒙，因为因为带我进来的就是一个英语启蒙的姐妹，嗯，他他分享他的孩子就是其就做的很好，他的孩子英语很好，他自己也开课嘛，在千聊里面都有卖课，所以我我我就在这一块也也有很多的成长，那还有其他的这些领域嗯，也都可以成长，而且他们有一些妈妈的分享，还有专业老师的这种嗯，导师的一些分享啊，比如说怎么把孩子怎么帮助孩子管理好时间，怎么帮助孩子规划好他的学习计划什么什么什么很多一系列的课程，因为你想做一行一个好的课程顾问，等于我们是课程顾问嘛，我们是课程顾问，就是说你要做好的课程顾问，你必须自己要学很多东西，所以它是有很多东西让你学都是免费学的。所以我觉得这一点上面跟我的印象是吻合的，因为我觉得我们教孩子了，不单单是教会里面的那些呃署名的那些原则啊，而且要有很落地的你很落地的这些学习，嗯，学习的一些一些方法，学习的一些课业安排，都是很落地的。所以我觉得在这一点上面给我的印象是吻合的。
33:00  speaker1：但是现在就是说怎么去去去去进一步的深耕深耕这个项目，如果觉得如果想赚到钱，你必须要唉呀再花精力去去去推广啊，可能要去开发新的人群啊，或者要在你的这这个人群当中再去过一下再去。对，我就觉得好像也没没自己也不是太太有干劲，然后他就觉得有点停下来了。嗯，但是他们做的好的妈妈，他们就好像很有干劲，很有劲。因为我们有有在一个群里面，我也其实我的身体还蛮快的，一开始也是身体身体，但是到了升级到这个程度了，我就觉得好像也很难再再再在嗯，的确到一个平静的状态。嗯，然后如果你要去推动推动你的下面的嗯，下面的就是你你会介绍，因为你每个人的圈子都是有限的，但是你可以通过呃推荐其他课代表来卖课，你可以嗯，多少有一点你的佣金嘛，多多少会有一点那个提成，那那不多不如你自己卖的多，但是会有一些被动收入就是你不需要去做，当时也有人也会有一些收入，但是你要去带这些人，你也要花精力，我都没去带，我就没去带这些人，因为觉得唉也要也要去跟他那培训他们啊，也要教他们怎么做啊，感觉自己的干劲好像还不是那么足。所以我觉得自己也挺奇怪的，就说你明天都需要生不如，但是你好像在为什么在这些事情上面你又不去努力呢，我有时候也问自己，然后我心里面还在想说我是不是要回去做港口嘛，因为感统之前是御情的缘故，我根本不会有机会去去机构，那现在敢捅开，现在开始陆续开课了，我就在想要不要进港口机构去做训练做感统，来帮助这些感统失调的孩子。那也发现说自己的感统学来的感统至少也忘了差不多了吗？也也怕就是说去港口机构可能也没人要，嗯，没人要你因为一个是目前目前大家都都都可能都不景气，他可能不定会不一定会招很多人，然后也不一定会要一个年纪这么大的，因为大部分都还是小姑娘的。我们来来我们看到就是说一些嗯，基础员工，就基层员工大部分年纪都很轻嘛，就是像像幼儿幼师这样子毕业的那种幼儿园老师那种小姑娘的那种样子，那我们这种年纪大，然后经验也不够的，你去当别人的基这个基层员工，不知道别人会不会要，因为你传统也是要体力的嘛，你要陪着孩子训练什么的，他也会不会担心我体量不够啊，嗯，宁可选择那些小姑娘啊。
35:58  speaker1：唉所以就是我我自己的这些顾虑吧，那我也有同时就是说唉我其实可以在我的群里面去分享，分享那种感统的这些知识哈，顺便自己复习一下，因为之前学的都都忘都有点忘了，因为你没去用，觉得很可惜，就想又想拿起来学，但是你这边拿起来学，那边就没有时间去做推广，因为你学习和工作真的有时候还是不能兼顾的，你学就专心学，然后你要去推广这些课程，你就要专心推广。我就发现我如果市场才可以一心两用，那其实真的做起来也没办法一心两用，就觉得什么也做不做不好，就是要要有舍弃嘛，现在又不知道要怎么舍弃，或者怎么来互相促进。我自己初步想到说，唉要不然我们把因为其实现在陆续有一些家长来咨询我感动的问题，说叫我帮他的孩子看一看该怎么设计训练方案，我都不敢接，我觉得我太不专业，我觉得我唉呀才刚刚学了些理论，不敢误人子弟，所以我都不敢没有没有去踢，没有去，最起码我就我基本上就是就是稍微介绍一些基本的东西，然后就没有再深入的去给他们做一些什么，进一步的推动。所以也都撂在那，觉得自己好像这里弄一点，那里弄一点，那都不是没有没有太专注，然后也就没有什么太多的产出。嘛那感动这一块，我是感觉周围的人群还是有需要，但是这个需要呢就是你不能信，你不能只着眼于你认识的那几家嘛，哈认识那几家他也可能也是找你咨询一下，然后真的要拿钱，他也不一定会会会会给你，呀他也可能就是说他他拿钱他也不会去找更专业的机构，因为有些机构也是更资深嘛，人家毕竟是是是专业机构，所以也觉得自己没底气，没有底气，就是你你周围的朋友你就是好心帮忙也可以，但是你真正收费你也你也没那个底气去收费。还有就是说你也不能如果你真的是以后要要要收费的，你也不可能光靠你周你周围这几个朋友一个家庭，我是要靠整个的市场的这个运营嘛来获得客户，所以这又涉及到一个挺大的一块。嗯，所以我现在 in，唉也也也也没想说那也也那是远一点的，然后我就说我现在眼下我就是想说要不然就进一个机构，那你怎么进得去就是嗯，写写简历就投简历，能不能进得去，我也是个疑问呢，也是打个问号。有没有人要？嗯，难道如果不进去，我的这些感动就白学了，就也是等于白学，因为你这些东西都是实践性很强的，你不做你就忘了。嗯，
39:17  speaker1：很难啊，我就觉得这可以。这个那敢捅我也不想丢啊，但是呢高总也不想丢，就是挺浪费，然后小花皮那边就是就是我那个推的课程，我又觉得也也挺可惜，就是也他说要不然再再再再花点精力，花点精力借给他赚点钱，因为他是比较容易的，你知道他没有，他跟卖其他的货品不一样，其他还会有售后，我之前也在那个团购群里面去卖鸡知道吗？那个小云姐妹。就敏哥家的那个小明姐妹，他他他也是什么都都卖了，他就推荐我去传过去，你卖鸡赚200块钱，结果累半死，就是没有，其实你好像是在线上线上去去接龙，但是其实你会要回答很多个人的问题，然后关于接货送货都要花花一些时间啊，所以我就觉得也很好吃，但是你在那个做课程推广线上课程推广就简单很多，他买买的课就买了课，然后有问题就回答一下，也不会太多人有问题没问题就没问题了，你就你就这笔收入就就就到手了，然后就没有什么太多的其他事情，而你要简简单，但是你要让别人买课的话，这个你是需要花一些接花一些时间你要去找人群啊，然后要去跟他聊天沟通啊，去找到他的需求啊，你也不可能就是那边你要帮他分析啊，你也要帮他设计，呀这些是要花时间，但我感觉这些做这些我倒觉得是有意义，有点你可以学到，因为你自己的孩子嗯，也是有需要吗？你在这当中你可以你就可以变得更专业。对各个各个学科就学习你也会变得更专业一些，然后跟这些家庭也会有一点交流，嗯，就还跟我的印象是比较吻合的。所以我不知道说我的经历，我的经验怎么怎么去花，我不知道我的经历要怎么。葫芦。好，那还有一个结合，二者结合，就是说我给这些人群创造一些价值就是说额外的价值，就是说我把我的这个感统学过的东西跟他们分享，比如说我不是有个群，你也在里面，就是我可以在这群里面去分享一些感动的知识，然后就等于是我自己做一些复习吧，我自己把我自己学到的东西发到这群里面来，来维系这些客户，然后会认为他们感觉我就是在在发广告就是在推客，我是而是能够彼此见，在育儿当中能够能够注意一下孩子的一些感统训练，平时在家庭里面设计一些感统的训练方案，嗯，所以反正就是有有各种各样的思路，但是不知道哪一种会比较比较比要不就唉比较值得我去做了。所以我就想说沟通一下，然后能够呃找到一条比较聚焦的路吧。
43:25  speaker1：嗯，43:26【安静3秒】我就我我就是说就是看你们二者结合了，我记来复习感动，然后因为感动的人群其实也就是这些家庭。嘛
43:42  speaker1：你就这些家庭，当然他们有家庭是有需要，有的家庭孩子不需要，但是至少都会有作为一个常识嘛，作为父母的一个常识科普嘛就是普及，就是说能够能够把这个就一个常识能够分享给大家。那嗯，就是这样说，打造人设就是现在不是有一句话叫打造人设也可以嘛，就是说嗯，44:10【安静3秒】所以就是是不是可以来做，这个现在今天呢弟兄俩，他说嗯，挺擅长跟别人交流的哈，挺擅长跟别人沟通和连接的。他他是借我要他的图片，哇我说我没想过，但是他就是因为我们家就是说呃之前的话有一个保点是另外一个点，要要要要要借我们买保险就我也觉得好像有点危机感，就是说我们家是经不起一点风险，就是说如果他病了或者我病了，我们就是会很难看就是整个家，所以就是想说是要买买一些保险来保障，有一个基础的保障，比如说什么，所以所以那个姐妹就就要给我们设计的一些方案，那我又然后我们又舍不得花那个钱，所以这个这个弟兄就是现在也搬到我们那边住，也是也是我们IoI的一个一个一个一个住户，那他的情况，然后那天就过来跟我们，他是说看看我弟兄本来说你一定要不要去想不想去做保险，反正闲着也是闲着，和保险保险很很噢就是说狠字相对自由，然后时间上也不占用太多嘛，他如果想学编程来还是可以学别的，比如说早上去打卡去学习那个保险，然后也可以用，然后也可以就是用比较便宜的价格来买我们自己想要的保保单。嘛就是那个警卫是有给我们设计一个保单，但是我们都觉得太贵了，所以一直没有迟迟没有下手。那他就是说如果我们去做保险就成为他们业务员，然后自己给自己投保那个保单就会嗯，保单的钱就会嗯，更便宜很多。就我们可以拿到佣金，就是自己卖给自己，会会省下一笔佣金什么的。然后他今天还讲了一个他说那边的，他说如果我去做保险的话，他觉得我可能去做可以把他们那边的人，他们说他们保险公司那边有上千号人，而且很多宝妈他说很多宝妈就是说不定他说我在推这个课嘛，他他也知道了，这说明你这个课的那个客户群可以拓拓宽唉。我说这个倒是有点让我心动，因为我现在客户群是处在一个瓶颈，就是等于是现有认识的这些妈妈们，那我要去认识新的妈妈，我觉得是挺不容易的，要不然也要他们那些什么抖音上什么什么什么一粉啊要干嘛的，我就觉得这些东西挺挺不容易，但是如果他说如果你去保险公司去去那边打卡，去参加一些培训，你就可以一很多的这种宝妈宝妈他们可能在教育上也会有需要嘛，我就觉得唉好像也还还还好像还可以啊帮我拓展我的客户群，我我在宝妈一个我可以不管是感统方面，如果不管是麦克啊，都可以说可能成为我的潜在客户，而且我也是愿意，我就等于是服务他嘛服务他们，就会给他们创造价值，不是说瞎卖啊，我就会给他分享一些教育的理念啊，他没有意识到的一些盲点啊，他还针对他孩子的年龄给他一些嗯，一些建议吧，就是说会至少会接触，然后把我懂的东西有一些输出，然后说不定他可以买我的课，然后我会有一点收入。所以好像你觉得是一个好像觉得还也还行，就是他就是上午去去上课培训，然后了解保险，然后我自己买包的时候也买到性价比比较高的，不会被别人忽悠，然后还能够不要把钱给别人赚，就是自己卖给自己，就是说你弟兄这个担忧就就不要担忧，就是出不起钱。呐他就说你去保险公司上班还有工资，嗯，所以就是那个等于多了一个多了一条多了一个想法，但是说真的也要花精力啊，就是保险本意我是第二个没想，但是你为了这些东西去花的这些精力值不值得，能不能能不能很好变现，这也是我一个很现实的考虑，我完全就是为了变现啊。所以想说出来那你帮我分析分析，那我帮你那那你帮我评估一下。
49:22  speaker1：嗯，那就去去去保险公司去去结识这些宝妈，去跟他们建立关系。Tea。
49:33  speaker1：因为的确我觉得是存在会会缺乏的就是说你的客户的确会缺乏，我们组内就是我的圈子也就是这么大，我已经算认识我那些我就是我底下的课代表我我也有有几个就跟着我的，他们都说唉呀我们的人呢没有你认识那么多，因为我觉得我还算是认识还多一点的，因为我我有跨教会，但他们有的没有跨教会的，让他们认识更少，所以但是我的也也算少了，就说也不多。那就是也差不多了，就就就这样了，就能买的也都买了。就是我有有买的也都买了，不再再说，他也不会买。我就感觉差不多就是这样了。那那我也就觉得差不多，我也我也没没力气，我也没那么精力再再去额外的什么花那个用那个网线上的那种方式去推广，唉呀我觉得好像对我来讲又很陌生。怎么去抖音里面去去建社群什么的，我就觉得好像也很陌生，因为我花额外精力去学习，那还不如这个保保险公司是宝妈来的，县城之间就可以遇到啊，是不是啊？我不知道我不知道我真的，但是我但是我觉得其实做保险我自己心里面觉得挺掉价的，我好像有一点放不下。呃但是这个其实是一个是错误的观念，呐其实做保险，我包括我之前做小孩比课程推广，我也觉得挺掉价的，就是觉得也放不下脸面去去推，其实我其实是很很有声望的，就相对来讲那个名口碑都很好的，妈妈们也都在催我在我在加入他们的行列，向往路都在推，我的网络都在推，噢我说那那那我也我也就加入吧。当然对保险我是有偏见的，我就觉得他好像什么人都能做，然后很杂啊，真的。之前是根本没想到，但是今天这个弟兄讲一下，我好像还有点有点就是心动，就是你说的这个人群的宝妈人群。是我的客未来的客户群不一定，嗯，那你看看都是花精力的。
52:01  speaker1：还是不够清晰，呀还是我到时我再我再讲。嘛
52:09  speaker1：我没有清晰什么，我觉得我还是属于那种迷茫啊。
52:28  speaker1：好吧，那我就说那就进入啊保险公司去混混混就是去接死人，然后就嗯，那个去去去加微信啊等于是嗯，然后增加的保险知识，嗯，然后就是来推课程，或者说介绍一些课程增加收入，同时那增加一些保险知识，来来让自己买到便宜的保单，给自己的家庭有个保障。因为我们的确是有点担心，就是说因为我我这个姐妹他自己提醒我的，他每年都给买那种买很便宜的那种保单，然后呃比较大的收入就像他会行的，嗯，他说就是能够让自己在出现意外的时候，一个家不要不要他他调吗？那我觉得是很有道理，然后我也有去听那些理财课，就是我们小花瓶里面我们还没有成为代表的代表，说就在那边花了几十块钱买了一个很好的保险的重要性。就是说一个人如果你有比如说像我们这样子有按揭有银行按揭，那你有在嘛等于是有外在外在的话，你的保险一定要要高于这个外在，就当你有意外的时候，你能够有一笔牛逼赔偿金来嗯，赔偿来来来来支付这些外债，那你的家人不至于嗯，要去替你背这个外债嘛，我就觉得很有道理，我就觉得目前我们家我是比较嗯，有经济收入的，那我要为我自己买一个这样的保障，然后那我万一有个意外的话，我的家人就是我的这个银行按揭不要落到我我的路的这个脸，又在孩子身上，让他要去承担这种承担不了的压力，所以我就有这种紧迫感。然后随着自己身体就是也快奔五了嘛，噢噢我也感觉到现在看到周围人的这种身状况，就觉得身体上面应该也会出现一些会出现一些问题，嗯，就如果出现一些问题，那我家里是承担不了的，嗯，也是承担不了的。所以就觉得有这个必要，因为它是一个杠杆嘛，但花小钱去去办大事，就是万一虽然它是一个概率，但是如果一旦发生你这个家，要不就是嗯，就是就是就是家破人亡的感觉就是就是承受不了。但是如果你这笔钱你能够承够支付一下，唉能承受的钱，你可以给整个加一个保障。所以我是相当有保险概念的，我是觉得有必要买。那我们黎弟兄就觉得我们都都都都都都这么结局，你去考那么保险，那我反而觉得你越没钱，你要赶紧保障啊对对那你是。
55:54  speaker1：唉呀那我觉得肯定现在是解决不了，因为我的问题啊没有清晰，还没有解决问题。对，肯定是还要花点时间再把它谈清楚。嘛
56:26  speaker1：可以，我只是想说呢因为你聚焦之前肯定要把一些东呼吸都要说出来嘛，然后。
56:44  speaker1：我就说把问题解决了吧，就是我我那我就就是我大概要说的也就这些了。嗯，没错。噢但是就是说我还不够清晰，我接下去要做的要要要怎么做我还不清晰啊。
57:44  speaker1：怎么去查我眼下啊我也不知道啊。
58:41  speaker1：我明白我明白。58:42【安静4秒】好，那就赚钱吧，你说吧。
59:58  speaker1：嗯，
60:07  speaker1：眼下因为我有啊那我先定一个高一点的。
60:40  speaker1：那这个这个这个唉呀我就觉得他们那个那个月收入1万，也就是这样子迈克，然后啊不知道为什么他们就有有有人去买啊那我。这个
61:10  speaker1： I was自己还是有点难还是有点难，我觉得还是。
61:41  speaker1：月收入啊月收入8000吧，小画笔我订个月收入5000吧不到1万，嗯，5000还是有可能够得着，因为我我我我是没有到5000，但是有一点差一点点，我有做4000多一个月。
62:23  speaker1：那就1万啊。1万吧。
