请根据实际情况，替换speaker1或speaker2为教练或客户：
总时长：64:33
speaker1:          说话时长：684秒,占比：28.57%  安静时长:267 秒。
speaker2:          说话时长：1710秒,占比：71.43%  安静时长:567 秒。
speaker1:          字节总数：4820,占比：32.22%
52:12  speaker1：嗯，
52:20  speaker1：好吧？那之前你也提到了主动。
52:27  speaker1：那如何让这份主动变成实实在在的行为，让你的合伙人体会到吗？
52:52  speaker1：哈哈哈
53:20  speaker1：唉我注意到刚才你说主动找他谈话的时候，你整个情绪能量啊，你的状态，包括你说话的这种状态都有了很大的变化。
54:22  speaker1：我注意到你现在在说去行动的时候，一直在笑。
54:31  speaker1：我也能感受到你的内心已经开始真的是愿意去做这样一个事情，是享受于其中。
55:08  speaker1：嗯，55:09【安静3秒】真的能感受到你整个人内在生发出的这种力量，嗯，55:19【安静3秒】那我们来看一看，你说今天会和对方主动沟通一次，那你会在什么时候和他沟通呢？
55:35  speaker1：明天晚上。
55:43  speaker1：嗯，
55:47  speaker1：在今天晚上和他沟通的过程当中，你觉得你会和以前有什么样本质上的不同啊。
56:27  speaker1：嗯，56:28【安静11秒】那你觉得在整个沟通过程当中，你如何确保自己会一直处在你想要的状态当中呢？
58:11  speaker1：嗯，58:12【安静6秒】我们聊到现在。
58:23  speaker1：你觉得这一课你有了怎样的体验？
59:15  speaker1：嗯，嗯，遇到这一刻你在说话的时候，速度变得更慢，然后语气变得更加的坚定。
59:36  speaker1：是什么？让你有了这样的变化。
60:13  speaker1：嗯，
60:34  speaker1：那我们来看一看我们今天的教育目标是清晰谈话思路，让自己感受到坚定。你觉得到目前为止，你实现了你想要的战略目标了吗？
60:58  speaker1：嗯，60:58【安静6秒】你觉得是什么让你自己从教练的开始一直走到了现在啊。
61:58  speaker1：那如果邀请你来对我们这一次教练谈话做一次总结，你会怎么说呢？
62:44  speaker1：嗯，哼嗯，哼嗯， Ok那如果用你喜欢的方式来作为我们今天教练结束，你会怎么选择？
63:18  speaker1：嗯，
63:28  speaker1：嗯，
63:42  speaker1：嗯，很有画面感的一个隐喻，因为真是有体验，嗯，嗯，在今天我们的教练对话当中，我是真的能够感受到你的那份勇气，嗯，特别是在你看到自己这个内心你觉得恐怖的那个维度，你真的愿意去面对它，并且进行调整，64:12【安静6秒】这是一个非常棒的过程。
64:21  speaker1：非常感谢你的话题，还有你的时间。
64:31  speaker1：谢谢毕竟。
